id,time,antenna,rssi,phase,channel,channelNum,epc
0,0,0,-44.5,3.7122335066832517,920.625,0,FFFF
1,4655,0,-44.0,3.380893656499953,920.625,0,FFFF
2,6110,0,-43.5,3.6140587362585705,920.625,0,FFFF
3,15486,1,-39.5,2.3316507975861747,920.625,0,FFFF
4,19408,1,-39.0,2.3193789512830896,920.625,0,FFFF
5,30881,2,-69.0,4.890330751779424,920.625,0,FFFF
6,33509,2,-69.0,4.7921559813547425,920.625,0,FFFF
7,42835,3,-54.0,5.092816215780329,920.625,0,FFFF
8,45618,3,-53.5,5.111223985234957,920.625,0,FFFF
9,55092,0,-43.5,3.4054373491061236,920.625,0,FFFF
10,57441,0,-44.5,3.4606606574700063,920.625,0,FFFF
11,69908,1,-39.0,2.2212041808584084,920.625,0,FFFF
12,72877,1,-39.5,2.3009711818284617,920.625,0,FFFF
13,89853,2,-70.5,5.006913291658733,920.625,0,FFFF
14,93573,2,-69.5,5.26462206402352,920.625,0,FFFF
15,103291,3,-54.5,5.141903600992669,920.625,0,FFFF
16,105598,3,-54.0,5.154175447295755,920.625,0,FFFF
17,130101,1,-39.0,2.356194490192345,920.625,0,FFFF
18,139546,1,-39.5,2.3193789512830896,920.625,0,FFFF
19,154039,2,-70.5,5.393476450205914,920.625,0,FFFF
20,155440,2,-70.5,5.037592907416446,920.625,0,FFFF
21,158065,2,-70.0,5.197126909356552,920.625,0,FFFF
22,167497,3,-55.0,5.141903600992669,920.625,0,FFFF
23,170087,3,-55.0,5.160311370447297,920.625,0,FFFF
24,179703,0,-44.5,3.368621810196868,920.625,0,FFFF
25,184876,0,-44.5,3.06182565261974,920.625,0,FFFF
26,199434,1,-39.0,2.478912953223196,920.625,0,FFFF
27,203063,1,-38.5,2.448233337465483,920.625,0,FFFF
28,213810,2,-70.5,4.2031073588066565,920.625,0,FFFF
29,218842,2,-70.5,4.718524903536232,920.625,0,FFFF
30,228321,3,-56.0,5.049864753719531,920.625,0,FFFF
31,230627,3,-56.0,5.031456984264903,920.625,0,FFFF
32,240788,0,-44.0,2.82252464970958,920.625,0,FFFF
33,258859,1,-38.5,2.6568547246179306,920.625,0,FFFF
34,274458,2,-71.5,4.755340442445488,920.625,0,FFFF
35,277026,2,-71.5,4.779884135051658,920.625,0,FFFF
36,286360,3,-57.0,5.019185137961818,920.625,0,FFFF
37,288962,3,-56.5,4.963961829597935,920.625,0,FFFF
38,299183,0,-44.5,2.8409324191642074,920.625,0,FFFF
39,301580,0,-44.5,2.816388726558037,920.625,0,FFFF
40,311085,1,-39.0,2.662990647769473,920.625,0,FFFF
41,319932,1,-38.5,2.742757648739526,920.625,0,FFFF
42,335327,2,-71.0,4.638757902566179,920.625,0,FFFF
43,337348,2,-72.0,4.313553975534423,920.625,0,FFFF
44,341130,2,-71.0,4.3074180523828804,920.625,0,FFFF
45,342952,2,-72.0,4.509903516383785,920.625,0,FFFF
46,354279,3,-57.5,5.006913291658733,920.625,0,FFFF
47,356619,3,-57.5,5.037592907416446,920.625,0,FFFF
